                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.59937,                0.55931,                   1.01,                0.87469,                0.85089,                0.91221,                0.74568,                0.74053,                  0.634,                 1.0429,             0.00038073,             0.00038073,             0.00038073
                     53,                0.60345,                0.54642,                 1.0108,                0.84949,                0.85374,                0.88682,                0.71698,                0.75981,                0.73128,                 1.0929,             0.00037312,             0.00037312,             0.00037312
                     54,                0.59532,                0.54314,                 1.0161,                0.79275,                0.87467,                0.89911,                0.73405,                0.72585,                0.67354,                 1.0863,             0.00036551,             0.00036551,             0.00036551
                     55,                0.59832,                0.54206,                 1.0219,                0.91218,                0.88714,                0.90768,                0.73363,                0.73623,                0.62815,                 1.0801,             0.00035789,             0.00035789,             0.00035789
                     56,                0.58921,                0.54457,                 1.0151,                0.79027,                0.84795,                 0.9022,                0.72812,                0.74979,                0.73044,                  1.075,             0.00035028,             0.00035028,             0.00035028
                     57,                0.60227,                0.56187,                 1.0423,                0.85669,                0.82435,                0.89217,                0.72802,                  0.711,                0.72089,                 1.0357,             0.00034267,             0.00034267,             0.00034267
                     58,                0.60451,                0.53813,                 1.0303,                0.87978,                0.88456,                 0.9216,                0.74667,                0.75914,                0.67713,                  1.079,             0.00033505,             0.00033505,             0.00033505
                     59,                0.58174,                0.54498,                 1.0066,                0.86207,                0.88397,                0.91657,                0.74977,                0.74628,                0.62156,                 1.0771,             0.00032744,             0.00032744,             0.00032744
                     60,                0.59248,                0.52851,                 1.0178,                0.80739,                 0.9134,                0.90341,                0.73071,                0.77749,                0.63071,                 1.1076,             0.00031983,             0.00031983,             0.00031983
                     61,                 0.5898,                0.51242,                 1.0128,                0.88071,                0.89174,                0.90778,                0.75353,                0.70956,                 0.6161,                 1.0543,             0.00031221,             0.00031221,             0.00031221
                     62,                 0.5738,                0.54527,                 1.0014,                0.80606,                0.83028,                0.87523,                 0.7178,                0.74203,                0.68966,                 1.0899,              0.0003046,              0.0003046,              0.0003046
                     63,                0.58998,                0.49086,                 1.0036,                0.85885,                0.88732,                0.90051,                0.74051,                0.70047,                0.68468,                 1.0163,             0.00029699,             0.00029699,             0.00029699
                     64,                0.57431,                0.51229,                 1.0005,                0.85733,                0.86861,                0.90961,                0.75419,                0.75664,                0.65082,                  1.083,             0.00028937,             0.00028937,             0.00028937
                     65,                 0.5595,                0.49982,                0.99498,                0.87957,                0.83862,                0.91799,                0.75167,                0.75342,                0.62075,                 1.0911,             0.00028176,             0.00028176,             0.00028176
                     66,                 0.5628,                 0.4813,                0.99903,                0.83191,                0.81661,                0.88958,                0.72928,                0.73531,                0.70836,                 1.0747,             0.00027415,             0.00027415,             0.00027415
                     67,                0.56483,                0.48656,                 0.9978,                0.88448,                0.91034,                0.91122,                0.75594,                0.70597,                0.60451,                 1.0499,             0.00026654,             0.00026654,             0.00026654
                     68,                0.56062,                0.48488,                0.99402,                0.89144,                 0.9019,                0.91213,                0.76006,                0.71121,                0.61633,                 1.0464,             0.00025892,             0.00025892,             0.00025892
                     69,                0.56084,                0.48146,                0.99814,                0.85149,                0.82537,                0.89362,                0.74425,                0.71476,                0.64026,                 1.0658,             0.00025131,             0.00025131,             0.00025131
                     70,                0.53598,                0.49454,                0.97878,                0.90241,                0.89986,                0.91742,                0.75986,                0.72777,                0.62533,                 1.0551,              0.0002437,              0.0002437,              0.0002437
